,zipcode,latitude,longitude,group
10405,38444,52.43788000000001,10.7663700000001,0
10406,38446,52.43788000000001,10.7663700000001,0
10407,38448,52.43788000000001,10.7663700000001,0
10408,38471,52.48801,10.8873100000001,0
10409,85092,48.8167,11.5,3
10410,25872,54.4730463467327,9.20209147179667,0
10411,94110,48.6,13.7833,3
10412,54570,50.15,6.6833300000000015,2
10413,27419,53.28723000000001,9.53201999999999,0
10414,7937,50.6833,11.9667,3
10415,25923,54.872320646700004,8.908027166130001,0
10416,19417,53.80159,11.70838,1
10417,9619,50.76464,13.44394,1
10418,18320,54.21499,12.58151,1
10419,17039,53.70287,13.460070000000002,1
10420,39261,51.96496,12.08745,1
10421,27324,52.7481,9.18352,0
10422,27333,52.7481,9.18352,0
10423,19217,53.76105,10.82735,0
10424,35444,50.6,8.58333,2
10425,37308,51.37677,10.13791,0
10426,17089,53.81648000000001,13.34477,1
10427,79199,47.9667,7.95,2
10428,58762,51.29865,7.67517999999995,2
10429,17506,53.97199000000001,13.35014,1
10430,6408,51.76519,11.69827,1
10431,47441,51.451765117990895,6.64085903167722,2
10432,47443,51.451765117990895,6.64085903167722,2
10433,47445,51.451765117990895,6.64085903167722,2
10434,47447,51.451765117990895,6.64085903167722,2
10435,99628,51.1667,11.4167,3
10436,9380,50.7,12.85,1
10437,9306,50.7,12.85,1
10438,6925,51.69516,12.99744,1
10439,99718,51.2394152638705,10.9176441375732,3
10440,76835,49.2672,8.085,2
10441,79252,47.9833,7.96667,2
10442,3238,51.571378478560106,13.5730943862915,1
10443,57334,50.9333,8.4,2
10444,17498,54.14965,13.31666,1
10445,58507,51.21881,7.63066000000003,2
10446,58509,51.21881,7.63066000000003,2
10447,58511,51.21881,7.63066000000003,2
10448,58513,51.21881,7.63066000000003,2
10449,58515,51.21881,7.63066000000003,2
10450,38835,52.0140323623875,10.65648021698,0
10451,86733,48.85,10.6167,3
10452,56357,50.2667,7.86667,2
10453,7389,50.6167,11.5833,3
10454,99955,51.20319990813071,10.748025894165002,3
10455,36433,50.8,10.2833,3
10456,34479,51.41497,9.18415000000005,0
10457,65343,50.0333,8.11667,2
10458,65344,50.0333,8.11667,2
10459,65345,50.0333,8.11667,2
10460,65346,50.0333,8.11667,2
10461,65347,50.0333,8.11667,2
10462,34466,51.32592,9.16596000000004,2
10463,18375,54.4118,12.5817099999999,1
10464,16515,52.75275,13.23915,1
10465,98587,50.7,10.5333,3
10466,60437,50.1167,8.68333,2
10467,60438,50.1167,8.68333,2
10468,60439,50.1167,8.68333,2
10469,15377,52.5424,14.0688,1
10470,56220,50.414485,7.5207039999999985,2
10471,23619,53.88636999999999,10.5303,0
10472,24980,54.777277315,9.23481093645,0
10473,19412,53.75969,11.67494,1
10474,38855,51.83695,10.78495,0
10475,27389,53.21282,9.495679999999991,0
10476,56412,50.45,7.91667,2
10477,15834,52.2919962854749,13.4387863015747,1
10478,18569,54.47185,13.30331,1
10479,66989,49.2333,7.5,2
10480,94345,48.95,12.4667,3
10481,7607,51.0,11.8833,3
10482,55624,49.9,7.35,2
10483,16248,52.93313000000001,14.03651,1
10484,66894,49.3333,7.45,2
10485,87494,47.6667,10.55,3
10486,23795,53.89568000000001,10.29341,0
10487,14959,52.19698,13.2116,1
10488,99826,51.05,10.3667,3
10489,83546,48.179215,12.304114,3
10490,21385,53.10315,10.22545,0
10491,38678,51.8093939012619,10.339908963012698,0
10492,2906,51.2444,14.6713,1
10493,69257,49.3614,8.80361,2
10494,56745,50.4,7.15,2
10495,31691,52.3035,9.12521,0
10496,17209,53.3658805612255,12.475403576660002,1
10497,15738,52.34858,13.6213299999999,1
10498,19205,53.61213000000001,11.02335,0
10499,18510,54.14128,13.0051,1
10500,17099,53.67708,13.49149,1
10501,6369,51.86546,11.93789,1
10502,55776,49.65,7.28333,2
10503,83527,48.1667,12.1833,3
10504,39167,52.15709,11.40772,1
10505,35321,50.55,8.98333,2
10506,74850,49.4,9.28333,2
10507,17237,53.38827,13.34389,1
10508,39434,51.84734,11.53491,1
10509,39434,51.85,11.533333,1
10510,39435,51.84734,11.53491,1
10511,39435,51.85,11.533333,1
10512,39444,51.84734,11.53491,1
10513,39444,51.85,11.533333,1
10514,39434,51.84734,11.53491,1
10515,39434,51.85,11.533333,1
10516,39435,51.84734,11.53491,1
10517,39435,51.85,11.533333,1
10518,39434,51.84734,11.53491,1
10519,39434,51.85,11.533333,1
10520,39435,51.84734,11.53491,1
10521,39435,51.85,11.533333,1
10522,39444,51.84734,11.53491,1
10523,39444,51.85,11.533333,1
10524,39434,51.84734,11.53491,1
10525,39434,51.85,11.533333,1
10526,39435,51.84734,11.53491,1
10527,39435,51.85,11.533333,1
10528,55469,50.0167,7.5666699999999985,2
10529,14797,52.36014,12.80705,1
10530,14542,52.36014,12.80705,1
10531,52349,50.8,6.4833300000000005,2
10532,52351,50.8,6.4833300000000005,2
10533,52353,50.8,6.4833300000000005,2
10534,52355,50.8,6.4833300000000005,2
10535,26197,52.94404,8.25261999999998,0
10536,55578,49.8464,8.04778,2
10537,88512,48.05,9.33333,3
10538,18556,54.63087,13.229629999999998,1
10539,23867,53.80106,10.22878,0
10540,71287,48.8469,8.9283,2
10541,9366,50.7333,12.7833,1
10542,17329,53.34358,14.26454,1
10543,73569,48.9,9.91667,3
10544,25856,54.543625594686496,8.97970174593919,0
10545,57635,50.7,7.5,2
10546,91608,49.3667,10.3,3
10547,17255,53.27015,12.90188,1
10548,99439,51.05,11.3167,3
10549,99189,51.0667,10.9333,3
10550,17506,53.9131,13.4978599999999,1
10551,87488,47.7333,10.3833,3
10552,37339,51.50334,10.3115,0
10553,18334,54.15235,12.57087,1
10554,18337,54.15235,12.57087,1
10555,67596,49.7439,8.236939999999999,2
10556,25337,53.7412596906038,9.73015052421089,0
10557,98617,50.5167,10.55,3
10558,72358,48.2333,8.76667,2
10559,79291,48.0167,7.6833300000000015,2
10560,4916,51.67651,13.175670000000002,1
10561,85232,48.25,11.3667,3
10562,97348,49.6833,10.3,3
10563,99817,50.9833,10.3167,3
10564,21772,53.65968,8.971960000000003,0
10565,25551,53.98725699999999,9.652054,0
10566,2748,51.04749,14.82626,1
10567,56290,50.0833,7.48333,2
10568,99735,51.42401,10.7382299999999,0
10569,87769,48.0833,10.4333,3
10570,25923,54.88877628109999,8.95747905374,0
10571,4821,51.3331391215157,12.6086688995362,1
10572,61206,50.2833,8.76667,2
10573,37327,51.38769,10.32196,0
10574,49777,52.77054,7.49292000000003,0
10575,17392,53.75135,13.62734,1
10576,53520,50.4667,6.78333,2
10577,27624,53.60386,8.88094999999998,0
10578,6369,51.65686,12.09518,1
10579,14806,52.13571,12.64343,1
10580,82152,48.1,11.4,3
10581,82349,48.1,11.4,3
10582,25361,53.83665600000001,9.489853,0
10583,54675,49.9333,6.3,2
10584,10115,52.5167453458334,13.366795746032698,1
10585,10117,52.5167453458334,13.366795746032698,1
10586,10119,52.5167453458334,13.366795746032698,1
10587,10178,52.5167453458334,13.366795746032698,1
10588,10179,52.5167453458334,13.366795746032698,1
10589,10551,52.5167453458334,13.366795746032698,1
10590,10553,52.5167453458334,13.366795746032698,1
10591,10555,52.5167453458334,13.366795746032698,1
10592,10557,52.5167453458334,13.366795746032698,1
10593,10559,52.5167453458334,13.366795746032698,1
10594,10785,52.5167453458334,13.366795746032698,1
10595,10787,52.5167453458334,13.366795746032698,1
10596,13347,52.5167453458334,13.366795746032698,1
10597,13349,52.5167453458334,13.366795746032698,1
10598,13351,52.5167453458334,13.366795746032698,1
10599,13353,52.5167453458334,13.366795746032698,1
10600,13355,52.5167453458334,13.366795746032698,1
10601,13357,52.5167453458334,13.366795746032698,1
10602,13359,52.5167453458334,13.366795746032698,1
10603,13407,52.5167453458334,13.366795746032698,1
10604,13409,52.5167453458334,13.366795746032698,1
10605,54669,49.85,6.36667,2
10606,24992,54.592452341762886,9.289659962050427,0
10607,71229,48.8,9.01667,2
10608,57520,50.75,7.85,2
10609,18569,54.55102,13.2261,1
10610,6682,51.1167,12.0167,1
10611,25588,53.977224,9.43451,0
10612,85126,48.7667,11.6833,3
10613,17398,53.79618000000001,13.73419,1
10614,30916,52.47837,9.80134999999996,0
10615,84434,48.4,12.05,3
10616,23936,53.79324,11.22249,0
10617,17111,53.80434,13.0426199999999,1
10618,55595,49.8167,7.8166699999999985,2
10619,54340,49.85,6.8,2
10620,92699,49.6167,12.2333,3
10621,94152,48.462915,13.418194,3
10622,18209,54.04583,11.87533,1
10623,18211,54.04583,11.87533,1
10624,93345,48.85,12.0,3
10625,6712,50.9833,12.2,1
10626,35683,50.7333,8.28333,2
10627,35684,50.7333,8.28333,2
10628,35685,50.7333,8.28333,2
10629,35686,50.7333,8.28333,2
10630,35687,50.7333,8.28333,2
10631,35688,50.7333,8.28333,2
10632,35689,50.7333,8.28333,2
10633,35690,50.7333,8.28333,2
10634,17098,53.67119,13.5550499999999,1
10635,17099,53.67119,13.5550499999999,1
10636,25554,53.94661600000001,9.416584,0
10637,56579,50.5333,7.5,2
10638,7985,50.6,12.1667,3
10639,76467,48.9167,8.25,2
10640,17091,53.76088000000001,13.1037200000001,1
10641,70327,48.7802,9.2509,3
10642,70329,48.7802,9.2509,3
10643,31195,51.9803,10.03287,0
10644,88074,47.7,9.56667,3
10645,72469,48.1833,8.96667,2
10646,17390,53.95716,13.6981499999999,1
10647,24594,54.0714455962366,9.67370759006024,0
10648,24594,54.131646058823996,9.750884349897401,0
10649,67574,49.7078,8.32889,2
10650,56269,50.5667,7.6833300000000015,2
10651,79312,48.121,7.8536,2
10652,9623,50.80193,13.536779999999998,1
10653,15837,51.98472,13.48942,1
10654,71088,48.64001,9.01159,2
10655,50389,50.8333,6.9833300000000005,2
10656,17166,53.68823,12.5034499999999,1
10657,54597,50.2667,6.5666699999999985,2
10658,72181,48.4333,8.81667,2
10659,78588,48.1,8.73333,2
10660,93449,49.3833333,12.65,3
10661,39343,52.27337,11.49137,1
10662,54655,50.0167,6.58333,2
10663,55595,49.85,7.766669999999999,2
10664,31613,52.7103,9.0734,0
10665,82432,47.6166667,11.35,3
10666,18211,54.15823,11.95471,1
10667,17089,53.74236,13.35207,1
10668,49191,52.30476,8.128460000000018,0
10669,54636,50.0167,6.4,2
10670,37574,51.82072,9.86814000000004,0
10671,98701,50.5833,11.012,3
10672,24619,54.05628000000001,10.26568,0
10673,74744,49.5083,9.52694,3
10674,23942,53.93571,11.0306399999999,0
10675,7389,50.6333,11.7,3
10676,27432,53.44454,8.99923000000001,0
10677,18528,54.39502,13.52036,1
10678,6618,51.0667,11.8833,1
10679,6528,51.42031,11.23597,1
10680,4895,51.63724000000001,13.30375,1
10681,88453,48.0833,10.0667,3
10682,78267,47.8511,8.85,2
10683,55590,49.7167,7.66667,2
10684,25924,54.862188089300005,8.67932727337,0
10685,14797,52.3271,12.6625,1
10686,14542,52.3271,12.6625,1
10687,14778,52.3271,12.6625,1
10688,18569,54.54665,13.36244,1
10689,96277,50.2167,11.2,3
10690,18445,54.38899,12.95088,1
10691,1824,50.86702,14.048570000000002,1
10692,7768,50.8,11.55,3
10693,36325,50.65,9.16667,2
